Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,5379,5085,5029,4084,3003
Cash & Due from Banks Growth,5.78%,1.11%,23.14%,36.00%,0
Investments 0 Total,157947,186526,157043,114313,47562
Trading Account Securities,4905,4423,3872,5733,0
Federal Funds Sold & Securities Purchased,3181,4028,1745,1417,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,3181,4028,1745,1417,0
Treasury Securities,10295,9795,1746,2276,6739
Federal Agency Securities,303,1698,1917,1881,200
State & Municipal Securities,416,420,493,585,706
Mortgage Backed Securities,118479,142676,116598,69577,37403
Other Securities,919,1094,1088,1225,542
Other Investments,19449,22392,29584,31619,1972
Investments Growth,015.32%,18.77%,37.38%,140.35%,0
Net Loans,321614,285078,293899,298293,147455
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,164307,138762,138354,130180,61935
Consumer & Installment Loans,51082,48911,49718,51388,32607
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,110602,101840,106422,112152,52453
Lease Financing Loans,0,0,5240,6122,2018
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,4377,4435,5835,1549,1558
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,390,123,63
Loans 0 1 Yr Growth Rate,12.82%,03.00%,01.47%,102.29%,0
Total Deposits FOR CALC PURPOSES,413495,416488,381077,334727,161199
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,6880,6960,7013,10513,2118
Other Assets Including Intangibles,60408,57592,45854,45752,25496
Other Assets,29723,28086,18423,18456,14920
Intangible Assets,30685,29506,27431,27296,10576
Deferred Charges,5701,7090,5605,4833,0
Interest Receivables,0,0,0,0,0
Total Assets,558953,544335,512528,475825,224186
Assets 0 Total Growth,2.69%,6.21%,7.71%,112.25%,0
Return On Average Assets,1.13%,0,0,0,0
