Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,735,2267,1953,359,350
Cash & Due from Banks Growth,-67.59%,16.10%,444.00%,2.68%,-
Investments - Total,3739,3915,3056,2617,2921
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,4,-,0,-,1
Federal Funds Sold,4,-,0,-,1
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,420,345,-,-,-
Federal Agency Securities,8,14,18,26,34
State & Municipal Securities,9,13,32,57,86
Mortgage Backed Securities,3082,3210,2479,2257,2601
Other Securities,-,-,-,-,-
Other Investments,216,333,526,276,198
Investments Growth,-4.49%,28.09%,16.80%,-10.41%,-
Net Loans,12084,10182,10317,9323,8862
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,3637,3129,2835,2949,3028
Consumer & Installment Loans,170,163,164,176,184
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,8517,6990,6825,6283,5731
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,-,-
Loan Loss Allowances Reserves,120,99,117,85,81
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,2,5,12,29,35
Loans - 1 Yr Growth Rate,18.68%,-1.31%,10.66%,5.20%,-
Total Deposits FOR CALC PURPOSES,14438,15087,14049,11246,11364
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,249,240,225,221,178
Other Assets Including Intangibles,1012,914,900,917,901
Other Assets,624,525,507,530,510
Intangible Assets,388,389,393,387,391
Deferred Charges,-,-,-,-,-
Interest Receivables,57,32,38,-,-
Total Assets,18085,17655,16609,13554,13336
Assets - Total Growth,2.44%,6.29%,22.55%,1.63%,-
Return On Average Assets,0.40%,-,-,-,-
Total Deposits,14438,15087,14049,11246,11364
Demand Deposits,8867,9144,7995,6017,5571
Savings/Time Deposits,5571,5944,6054,5228,5794
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,-,-,-,-,-
Deposits Growth,-4.31%,7.39%,24.93%,-1.05%,-
Total Debt,1724,551,550,436,192
ST Debt & Current Portion LT Debt,455,245,171,263,129
Current Portion of Long Term Debt,1,2,2,2,-
Short Term Debt,454,243,169,261,129
Long-Term Debt,1269,306,379,173,63
LT Debt excl. Capitalized Leases,1231,269,345,138,63
Capitalized Lease Obligations,4,5,6,8,-
Provision for Risks & Charges,37,36,39,-,-
Long Term Debt Growth,314.84%,-19.23%,119.01%,175.72%,-
Total Assets FOR CALCULATION PURPOSES ONLY,18085,17655,16609,13554,13336
Total Debt / Total Assets,9.53%,3.12%,3.31%,3.21%,1.44%
Deferred Tax Liabilities,138,41,51,32,40
Deferred Taxes - Credit,70,59,58,56,50
Deferred Taxes - Debit,208,100,108,87,90
Other Liabilities,324,181,174,156,138
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,324,181,174,156,138
Deferred Income,-,-,-,-,-
Total Liabilities,16593,15913,14868,11893,11745
Total Liabilities Growth,4.27%,7.03%,25.02%,1.26%,-
Preferred Stock Carrying Value,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,1492,1741,1741,1661,1591
Common Stock Par/Carry Value,13,13,13,13,14
Additional Paid-In Capital/Capital Surplus,155,176,233,256,310
Retained Earnings,1600,1585,1496,1415,1324
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,254,18,17,8,44
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,21,15,18,16,12
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,-,-,-,-,-
Common Equity / Total Assets,0.08%,0.10%,0.10%,0.12%,0.12%
Total Shareholders Equity,1492,1741,1741,1661,1591
Total Shareholders Equity / Total Assets,8.25%,9.86%,10.48%,12.25%,11.93%
Return On Average Total Equity,4.45%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,1492,1741,1741,1661,1591
Liabilities & Shareholders Equity,18085,17655,16609,13554,13336
