Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,53542,28905,62580,22405,21453
Cash & Due from Banks Growth,85.23%,053.81%,179.31%,4.44%,0
Investments 0 Total,170577,188663,152718,135463,121069
Trading Account Securities,702,1193,1255,951,843
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,23377,36609,22391,19839,24359
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,10125,10717,8861,6814,6716
Mortgage Backed Securities,123819,127422,105374,95564,80674
Other Securities,4329,73,214,396,416
Other Investments,8225,12649,14623,11899,8061
Investments Growth,09.59%,23.54%,12.74%,11.89%,0
Net Loans,381277,306304,290393,292082,282837
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,131128,106912,97315,98168,96849
Consumer & Installment Loans,62809,66757,58748,58381,55125
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,184195,125992,127938,125368,120695
Lease Financing Loans,10081,12367,13706,14185,14141
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,6936,5724,7314,4020,3973
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,23,22,24,78,111
Loans 0 1 Yr Growth Rate,24.48%,5.48%,00.58%,3.27%,0
Total Deposits FOR CALC PURPOSES,524976,456083,429770,361916,345475
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,3858,3305,3468,3702,2457
Other Assets Including Intangibles,65528,46085,44722,41696,39447
Other Assets,49755,35038,34150,31364,29477
Intangible Assets,15773,11047,10572,10332,9970
Deferred Charges,0,0,0,0,0
Interest Receivables,0,0,0,0,0
Total Assets,674805,573284,553905,495426,467374
Assets 0 Total Growth,17.71%,3.50%,11.80%,6.00%,0
Return On Average Assets,0.93%,0,0,0,0
