Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,1558,9215,3498,1669,1674
Cash & Due from Banks Growth,083.09%,163.46%,109.54%,00.30%,0
Investments 0 Total,14364,15130,12446,10388,8507
Trading Account Securities,18,32,35,46,61
Federal Funds Sold & Securities Purchased,959,1216,1650,1578,627
Federal Funds Sold,959,1216,1650,1578,627
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,777,69,31,64,247
Federal Agency Securities,294,125,96,93,0
State & Municipal Securities,4133,4471,4636,4146,3654
Mortgage Backed Securities,6948,7965,5468,4072,3812
Other Securities,724,382,215,189,4
Other Investments,511,363,315,201,101
Investments Growth,05.07%,21.56%,19.81%,22.12%,0
Net Loans,20839,16976,15888,13330,12075
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,11059,8272,7940,6487,6037
Consumer & Installment Loans,285,309,307,360,376
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,9624,8588,7854,6582,5760
Lease Financing Loans,2,2,2,2,5
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,192,195,216,102,104
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,22.76%,6.85%,19.19%,10.40%,0
Total Deposits FOR CALC PURPOSES,32639,35600,27051,21603,19281
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,318,328,356,367,284
Other Assets Including Intangibles,1283,948,833,807,785
Other Assets,997,759,631,598,589
Intangible Assets,286,189,202,208,196
Deferred Charges,0,0,0,0,0
Interest Receivables,150,96,107,0,0
Total Assets,38854,42789,33224,26622,23408
Assets 0 Total Growth,09.20%,28.79%,24.80%,13.73%,0
Return On Average Assets,1.06%,0,0,0,0
Total Deposits,32639,35600,27051,21603,19281
Demand Deposits,13260,16343,9880,6944,6680
Savings/Time Deposits,19379,19257,17171,14659,12601
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,0,0,0
Deposits Growth,08.32%,31.60%,25.22%,12.04%,0
Total Debt,2667,3575,2657,2067,1602
ST Debt & Current Portion LT Debt,2234,3247,2323,1921,1519
Current Portion of Long Term Debt,0,0,0,12,0
Short Term Debt,2234,3247,2323,1909,1519
Long0Term Debt,433,328,333,146,83
LT Debt excl. Capitalized Leases,381,272,270,86,83
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,3,3,6,0,0
Long Term Debt Growth,31.99%,01.74%,127.79%,77.08%,0
Total Assets FOR CALCULATION PURPOSES ONLY,38854,42789,33224,26622,23408
Total Debt / Total Assets,6.86%,8.35%,8.00%,7.76%,6.84%
Deferred Tax Liabilities,248,22,96,30,27
Deferred Taxes 0 Credit,93,117,192,91,57
Deferred Taxes 0 Debit,341,95,97,61,84
Other Liabilities,552,349,301,255,240
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,552,349,301,255,240
Deferred Income,0,0,0,0,0
Total Liabilities,35954,39643,30207,24015,21180
Total Liabilities Growth,09.31%,31.24%,25.78%,13.39%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,2667,3145,3017,2606,2228
Common Stock Par/Carry Value,55,55,55,55,55
Additional Paid0In Capital/Capital Surplus,1126,1111,1090,1074,1055
Retained Earnings,2536,2177,1891,1672,1488
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,0,0,0,0,0
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,703,126,318,83,96
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,347,323,338,278,274
Common Equity / Total Assets,0.07%,0.07%,0.09%,0.10%,0.10%
Total Shareholders Equity,2667,3145,3017,2606,2228
Total Shareholders Equity / Total Assets,6.86%,7.35%,9.08%,9.79%,9.52%
Return On Average Total Equity,14.85%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,2667,3145,3017,2606,2228
Liabilities & Shareholders Equity,38621,42789,33224,26622,23408
