Fiscal year is April0March. All values USD Millions.,2023,2021,2020,2019,2018
Total Cash & Due from Banks,0,26,23,21,20
Cash & Due from Banks Growth,0.00%,14.52%,7.79%,5.38%,0
Investments 0 Total,0,329,264,231,213
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,0,0,0
Federal Agency Securities,0,10,2,6,8
State & Municipal Securities,0,1,3,5,5
Mortgage Backed Securities,0,14,17,28,33
Other Securities,0,54,25,28,17
Other Investments,0,250,216,165,149
Investments Growth,0.00%,24.75%,14.09%,8.86%,0
Net Loans,0,"1,627","1,595","1,396","1,278"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,0,220,276,175,173
Consumer & Installment Loans,0,1,4,74,64
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,0,"1,401","1,319","1,164","1,056"
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),0,(22),(23),(16),(15)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,2,0
Loans 0 1 Yr Growth Rate,0.00%,1.99%,14.31%,9.21%,0
Total Deposits FOR CALC PURPOSES,0,"1,759","1,558","1,250","1,208"
Loans (Total) / Total Deposits,0,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",0,25,23,24,23
Other Assets (Including Intangibles),0,34,35,32,33
Other Assets,0,32,33,31,32
Intangible Assets,0,2,2,2,2
Deferred Charges,0,2,3,2,3
Interest Receivables,0,10,10,7,6
Total Assets,0,"2,035","1,960","1,721","1,581"
Assets 0 Total Growth,0.00%,3.80%,13.92%,8.84%,0
Return On Average Assets,,0,0,0,0
