Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,444,205,258,256,252
Cash & Due from Banks Growth,116.58%,-20.43%,0.62%,1.88%,-
Investments - Total,6459,6316,5618,4656,4416
Trading Account Securities,13,38,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,346,68,120,189,188
Federal Agency Securities,287,27,32,37,45
State & Municipal Securities,627,418,550,671,783
Mortgage Backed Securities,3539,3071,2640,2875,2697
Other Securities,338,250,198,173,106
Other Investments,1308,2445,2078,712,598
Investments Growth,2.27%,12.41%,20.67%,5.43%,-
Net Loans,46459,33794,31877,29537,24884
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,8805,5848,6862,4826,4331
Consumer & Installment Loans,2811,2570,2269,2365,2181
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,35301,25736,23086,22508,18524
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,-,-
Loan Loss Allowances Reserves,459,359,340,162,152
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,2,5,8,9,9
Loans - 1 Yr Growth Rate,37.47%,6.02%,7.92%,18.70%,-
Total Deposits FOR CALC PURPOSES,47637,35632,31936,29186,24453
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,665,585,572,620,342
Other Assets Including Intangibles,3043,2365,2151,2163,1760
Other Assets,1001,859,720,727,622
Intangible Assets,2043,1506,1431,1436,1138
Deferred Charges,-,-,-,-,-
Interest Receivables,197,97,106,106,95
Total Assets,57584,43530,40761,37501,31923
Assets - Total Growth,32.29%,6.79%,8.69%,17.47%,-
Return On Average Assets,1.13%,-,-,-,-
Total Deposits,47637,35632,31936,29186,24453
Demand Deposits,14464,11676,9205,6710,6175
Savings/Time Deposits,33173,23957,22730,22475,18277
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,-,-,-,-,-
Deposits Growth,33.69%,11.58%,9.42%,19.35%,-
Total Debt,2097,2419,3776,3581,3829
ST Debt & Current Portion LT Debt,527,1041,1736,1130,2119
Current Portion of Long Term Debt,350,350,553,1,-
Short Term Debt,177,691,1183,1129,2119
Long-Term Debt,1570,1378,2040,2451,1710
LT Debt excl. Capitalized Leases,1250,1130,1799,2178,1710
Capitalized Lease Obligations,0,1,1,1,-
Provision for Risks & Charges,1,1,1,3,13
Long Term Debt Growth,13.99%,-32.47%,-16.78%,43.38%,-
Total Assets FOR CALCULATION PURPOSES ONLY,57584,43530,40761,37501,31923
Total Debt / Total Assets,3.64%,5.56%,9.26%,9.55%,11.99%
Deferred Tax Liabilities,194,79,95,89,105
Deferred Taxes - Credit,121,83,75,65,60
Deferred Taxes - Debit,315,162,170,154,166
Other Liabilities,1326,310,381,282,218
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,1326,310,381,282,218
Deferred Income,-,-,-,-,-
Total Liabilities,51183,38446,36169,33117,28573
Total Liabilities Growth,33.13%,6.29%,9.21%,15.90%,-
Preferred Stock Carrying Value,210,210,210,210,210
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,210,210,210,210,210
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,6191,4874,4382,4174,3141
Common Stock Par/Carry Value,178,148,142,141,116
Additional Paid-In Capital/Capital Surplus,4980,3883,3637,3622,2796
Retained Earnings,1218,884,611,444,300
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,128,9,33,6,34
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,36,27,41,38,36
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,22,23,0,0,2
Common Equity / Total Assets,0.11%,0.11%,0.11%,0.11%,0.10%
Total Shareholders Equity,6401,5084,4592,4384,3350
Total Shareholders Equity / Total Assets,11.12%,11.68%,11.27%,11.69%,10.50%
Return On Average Total Equity,9.91%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,6401,5084,4592,4384,3350
Liabilities & Shareholders Equity,57584,43530,40761,37501,31923
