Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,50,47,56,49,56
Cash & Due from Banks Growth,5.82%,015.76%,14.24%,013.22%,0
Investments 0 Total,1160,1261,1216,1097,1047
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,0,0,0
Federal Agency Securities,200,196,132,158,243
State & Municipal Securities,0,0,0,0,1
Mortgage Backed Securities,774,825,740,719,671
Other Securities,20,21,23,23,23
Other Investments,166,218,321,197,108
Investments Growth,08.02%,3.72%,10.88%,4.80%,0
Net Loans,5072,4234,4152,3866,3653
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,656,642,817,585,621
Consumer & Installment Loans,16,18,19,20,26
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,4438,3614,3360,3288,3033
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,38,39,44,27,27
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,19.80%,1.97%,7.40%,5.82%,0
Total Deposits FOR CALC PURPOSES,5019,4980,4378,3499,3524
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,59,56,58,55,29
Other Assets Including Intangibles,242,227,205,217,213
Other Assets,174,157,135,146,141
Intangible Assets,68,69,70,71,72
Deferred Charges,17,16,9,12,13
Interest Receivables,21,13,14,0,0
Total Assets,6679,5869,5733,5308,5019
Assets 0 Total Growth,13.80%,2.36%,8.02%,5.77%,0
Return On Average Assets,1.14%,0,0,0,0
Total Deposits,5019,4980,4378,3499,3524
Demand Deposits,3320,3136,2615,2056,1895
Savings/Time Deposits,1699,1844,785,691,940
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,0,0,0
Deposits Growth,0.78%,13.74%,25.14%,00.71%,0
Total Debt,1032,197,648,1193,1010
ST Debt & Current Portion LT Debt,899,114,521,977,771
Current Portion of Long Term Debt,895,110,517,974,767
Short Term Debt,4,4,4,3,4
Long0Term Debt,133,83,127,216,239
LT Debt excl. Capitalized Leases,108,58,99,190,206
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,14,18,18,16,15
Long Term Debt Growth,60.83%,034.91%,041.28%,09.35%,0
Total Assets FOR CALCULATION PURPOSES ONLY,6679,5869,5733,5308,5019
Total Debt / Total Assets,15.46%,3.35%,11.31%,22.48%,20.12%
Deferred Tax Liabilities,56,14,12,8,12
Deferred Taxes 0 Credit,19,18,20,15,8
Deferred Taxes 0 Debit,75,32,32,24,20
Other Liabilities,142,92,134,81,54
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,142,92,134,81,54
Deferred Income,0,0,0,0,0
Total Liabilities,6225,5304,5199,4804,4610
Total Liabilities Growth,17.36%,2.01%,8.22%,4.22%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,454,565,534,503,448
Common Stock Par/Carry Value,1,1,1,1,1
Additional Paid0In Capital/Capital Surplus,127,127,126,123,120
Retained Earnings,492,458,418,390,356
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,131,7,10,3,17
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,27,13,17,14,12
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,9,1,3,0,0
Common Equity / Total Assets,0.07%,0.10%,0.09%,0.09%,0.09%
Total Shareholders Equity,454,565,534,503,448
Total Shareholders Equity / Total Assets,6.79%,9.62%,9.32%,9.49%,8.93%
Return On Average Total Equity,14.04%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,454,565,534,503,448
Liabilities & Shareholders Equity,6679,5869,5733,5308,5058
