Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,264,137,194,185,260
Cash & Due from Banks Growth,92.25%,029.00%,4.40%,028.83%,0
Investments 0 Total,15649,11029,9388,8632,7511
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,717,0,0,0,8
Federal Agency Securities,258,397,0,0,0
State & Municipal Securities,2562,706,739,740,715
Mortgage Backed Securities,10201,9317,8142,7457,6451
Other Securities,719,13,13,22,51
Other Investments,1191,596,493,413,287
Investments Growth,41.89%,17.48%,8.75%,14.93%,0
Net Loans,49170,21971,21282,19828,18253
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,18214,7950,7976,6343,6217
Consumer & Installment Loans,64,85,156,220,228
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,29216,13610,12908,12937,11513
Lease Financing Loans,1628,627,602,537,508
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,595,301,359,209,212
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,123.80%,3.24%,7.33%,8.63%,0
Total Deposits FOR CALC PURPOSES,54054,29847,27335,23325,21859
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,430,205,227,270,125
Other Assets Including Intangibles,5106,1465,1420,1411,1365
Other Assets,2392,909,859,851,800
Intangible Assets,2713,556,561,560,564
Deferred Charges,0,0,0,0,0
Interest Receivables,287,0,0,0,0
Total Assets,71503,34986,32711,30493,27670
Assets 0 Total Growth,104.38%,6.96%,7.27%,10.20%,0
Return On Average Assets,1.20%,0,0,0,0
