Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,166,157,184,183,125
Cash & Due from Banks Growth,5.82%,014.82%,0.80%,46.73%,0
Investments 0 Total,"4,152","5,192","3,693","3,434","3,256"
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,40,33,20
Federal Agency Securities,230,243,219,169,152
State & Municipal Securities,"1,270","1,014",717,832,"1,014"
Mortgage Backed Securities,"2,242","2,711","1,674","2,129","1,879"
Other Securities,47,64,72,95,82
Other Investments,363,"1,160",971,176,109
Investments Growth,020.04%,40.60%,7.53%,5.47%,0
Net Loans,"10,585","9,612","10,603","10,216","7,607"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"1,579","1,590","2,407","1,645","1,265"
Consumer & Installment Loans,226,277,309,375,326
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"8,897","7,866","8,073","8,248","6,065"
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(118),(122),(186),(52),(49)
Investment in Unconsolidated Subs.,3,10,6,7,7
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,1,0,1,4,7
Loans 0 1 Yr Growth Rate,10.12%,09.35%,3.80%,34.29%,0
Total Deposits FOR CALC PURPOSES,"13,131","13,566","12,429","11,004","8,832"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",221,229,249,261,167
Other Assets (Including Intangibles),"1,735","1,667","1,623","1,572","1,251"
Other Assets,594,515,460,423,332
Intangible Assets,"1,141","1,152","1,163","1,149",919
Deferred Charges,0,0,0,0,0
Interest Receivables,69,61,67,44,39
Total Assets,"16,932","16,927","16,426","15,720","12,459"
Assets 0 Total Growth,0.03%,3.05%,4.49%,26.18%,0
Return On Average Assets,1.13%,0,0,0,0
