Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,491,411,322,286,392
Cash & Due from Banks Growth,19.40%,27.52%,12.67%,027.02%,0
Investments 0 Total,"9,805","12,388","9,937","6,935","4,685"
Trading Account Securities,1,1,1,1,2
Federal Funds Sold & Securities Purchased,0,700,0,0,0
Federal Funds Sold,0,700,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,15,0,305,121,126
Federal Agency Securities,414,233,262,"1,268",955
State & Municipal Securities,348,353,348,377,391
Mortgage Backed Securities,"5,964","4,545","2,629","2,380","1,630"
Other Securities,254,230,182,146,126
Other Investments,"2,810","6,326","6,210","2,643","1,455"
Investments Growth,020.85%,24.66%,43.28%,48.03%,0
Net Loans,"38,926","34,541","31,760","26,643","23,668"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"26,490","23,802","11,956","8,286","7,829"
Consumer & Installment Loans,51,24,32,110,121
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"2,705","10,963","10,179","9,888","8,488"
Lease Financing Loans,0,0,"9,912","8,517","7,383"
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(357),(300),(319),(157),(153)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,10,4,17,15,25
Loans 0 1 Yr Growth Rate,12.70%,8.76%,19.20%,12.57%,0
Total Deposits FOR CALC PURPOSES,"42,903","42,096","37,093","30,107","26,095"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment","1,019","1,008","1,011",986,904
Other Assets (Including Intangibles),"2,484","1,520","1,762","1,452","1,310"
Other Assets,"1,809",837,"1,080",759,687
Intangible Assets,676,683,682,692,623
Deferred Charges,0,0,0,0,0
Interest Receivables,214,269,272,303,260
Total Assets,"52,950","50,142","45,081","36,621","31,245"
Assets 0 Total Growth,5.60%,11.23%,23.10%,17.21%,0
Return On Average Assets,0.99%,0,0,0,0
