S.No.,Name,Ticker
1,Associated Banc-Corp ,ASB
2,Atlantic Union Bankshares Corporation ,AUB
3,Axos Financial Inc. ,AX
4,Banc of California Inc. ,BANC
5,Bank of America Corporation ,BAC
6,Bank of Hawaii Corporation ,BOH
7,BankUnited Inc. ,BKU
8,Bar Harbor Bankshares Inc. ,BHB
9,Berkshire Hills Bancorp Inc. ,BHLB
10,Blue Ridge Bankshares Inc. ,BRBS
11,Byline Bancorp Inc. ,BY
12,Cadence Bank ,CADE
13,Central Pacific Financial Corp ,CPF
14,Citigroup Inc. ,C
15,Citizens Financial Group Inc. ,CFG
16,Comerica Incorporated ,CMA
17,Community Bank System Inc. ,CBU
18,Cullen Frost Bankers Inc. ,CFR
19,Customers Bancorp Inc ,CUBI
20,Evans Bancorp Inc. ,EVBN
21,F.N.B. Corporation ,FNB
22,FB Financial Corporation ,FBK
23,First Commonwealth Financial Corporation ,FCF
24,First Horizon Corporation ,FHN
26,Glacier Bancorp Inc. ,GBCI
27,Guaranty Bancshares Inc. ,GNTY
28,Hilltop Holdings Inc.,HTH
29,Home BancShares Inc. ,HOMB
30,JP Morgan Chase & Co. ,JPM
31,KeyCorp ,KEY
32,Live Oak Bancshares Inc. ,LOB
33,M&T Bank Corporation ,MTB
34,Metropolitan Bank Holding Corp. ,MCB
35,National Bank Holdings Corporation ,NBHC
36,Nicolet Bankshares Inc. ,NIC
37,Park National Corporation ,PRK
38,PNC Financial Services Group Inc.,PNC
39,Prosperity Bancshares Inc. ,PB
40,Provident Financial Services Inc ,PFS
41,Regions Financial Corporation ,RF
42,ServisFirst Bancshares Inc. ,SFBS
43,Silvergate Capital Corporation   (FAILED in March 2023),SI
44,Synovus Financial Corp. ,SNV
45,Tompkins Financial Corporation ,TMP
46,Truist Financial Corporation ,TFC
47,U.S. Bancorp ,USB
48,Webster Financial Corporation ,WBS
49,Wells Fargo & Company ,WFC
50,Western Alliance Bancorporation  ,WAL
51,York Community Bancorp Inc. ,NYCB
